RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 330 1.55484758E-09   1.23297141E-07   2.78281718E-08   2.26579111E-08   4.20277679E-09   3.10996812E-10   6.96279869E-08   8.00331020E+00   9.52461660E-01   2.28349611E-01   1.32431373E-01   9.24602890E+00   6.72557712E-01   -3.31950486E-01   1.15281060E-01   1.59224391E+00   1.13997675E+06   6.39288568E+00   1.68150592E+00   1.63805275E+06   7.43120861E+00 
0 340 1.51297141E-09   1.19041104E-07   2.70295519E-08   2.14666258E-08   4.03132461E-09   3.08629511E-10   6.47154792E-08   7.92554283E+00   9.47004318E-01   2.37909481E-01   1.33742601E-01   9.24223328E+00   6.72854006E-01   -3.31050456E-01   1.15334451E-01   1.58079159E+00   1.11786762E+06   6.35146666E+00   1.68155968E+00   1.63649962E+06   7.42781591E+00 
0 350 1.45581169E-09   1.15133439E-07   2.62179256E-08   2.03590691E-08   3.81503806E-09   3.06874581E-10   6.01841208E-08   7.85179615E+00   9.40735698E-01   2.46026412E-01   1.35013938E-01   9.23841953E+00   6.73149049E-01   -3.30015272E-01   1.15387946E-01   1.57011759E+00   1.09723525E+06   6.31281376E+00   1.68161213E+00   1.63496325E+06   7.42445946E+00 
0 360 1.39972267E-09   1.11563132E-07   2.54458357E-08   1.93526564E-08   3.61488706E-09   3.05649728E-10   5.59613831E-08   7.78195238E+00   9.33750987E-01   2.52944648E-01   1.36243537E-01   9.23471737E+00   6.73479080E-01   -3.28892827E-01   1.15440026E-01   1.56012738E+00   1.07790188E+06   6.27659464E+00   1.68166184E+00   1.63348688E+06   7.42123413E+00 
0 370 1.34440281E-09   1.08284084E-07   2.47101273E-08   1.84268831E-08   3.43325346E-09   3.04906711E-10   5.20481294E-08   7.71561766E+00   9.26140070E-01   2.58747876E-01   1.37434959E-01   9.23120975E+00   6.73884034E-01   -3.27852607E-01   1.15489572E-01   1.55074251E+00   1.05972012E+06   6.24253321E+00   1.68170786E+00   1.63210000E+06   7.41820478E+00 
0 380 1.28392141E-09   1.05229915E-07   2.40127864E-08   1.75618045E-08   3.25790772E-09   3.04615222E-10   4.84708060E-08   7.65244293E+00   9.18051958E-01   2.63495088E-01   1.38591677E-01   9.22790527E+00   6.74386859E-01   -3.27030897E-01   1.15536310E-01   1.54190660E+00   1.04258412E+06   6.21043062E+00   1.68175042E+00   1.63080350E+06   7.41537237E+00 
0 390 1.21992971E-09   1.02313500E-07   2.33514807E-08   1.67614296E-08   3.10085868E-09   3.04734016E-10   4.52468107E-08   7.59227276E+00   9.09663439E-01   2.67198741E-01   1.39714375E-01   9.22479916E+00   6.74981236E-01   -3.26430261E-01   1.15580209E-01   1.53358924E+00   1.02643800E+06   6.18018246E+00   1.68178964E+00   1.62959100E+06   7.41272354E+00 
0 400 1.15854049E-09   9.94836640E-08   2.27062795E-08   1.60320308E-08   2.97592173E-09   3.05229425E-10   4.23642703E-08   7.53509665E+00   9.01148319E-01   2.69891500E-01   1.40801206E-01   9.22191238E+00   6.75626516E-01   -3.25947851E-01   1.15621015E-01   1.52578604E+00   1.01127588E+06   6.15177774E+00   1.68182576E+00   1.62846638E+06   7.41026688E+00 
0 410 1.10652809E-09   9.67167963E-08   2.20549410E-08   1.53615147E-08   2.88885982E-09   3.06063730E-10   3.97952746E-08   7.48100185E+00   8.92664552E-01   2.71723449E-01   1.41848534E-01   9.21927261E+00   6.76258743E-01   -3.25477064E-01   1.15658499E-01   1.51850653E+00   9.97119125E+05   6.12525606E+00   1.68185842E+00   1.62743662E+06   7.40801716E+00 
0 420 1.06419906E-09   9.39982172E-08   2.13952944E-08   1.47382453E-08   2.82047896E-09   3.07222969E-10   3.75171219E-08   7.43011236E+00   8.84364009E-01   2.72907943E-01   1.42851874E-01   9.21687126E+00   6.76818609E-01   -3.24982256E-01   1.15692891E-01   1.51175427E+00   9.83977188E+05   6.10063601E+00   1.68188798E+00   1.62649512E+06   7.40596056E+00 
0 430 1.02762832E-09   9.13414695E-08   2.07487467E-08   1.41451784E-08   2.74515499E-09   3.08672504E-10   3.54786529E-08   7.38248873E+00   8.76352310E-01   2.73705274E-01   1.43808007E-01   9.21464920E+00   6.77272439E-01   -3.24488878E-01   1.15725011E-01   1.50551343E+00   9.71821688E+05   6.07786417E+00   1.68191528E+00   1.62561800E+06   7.40404463E+00 
0 440 9.97370853E-10   8.87733194E-08   2.01257144E-08   1.35714764E-08   2.66752109E-09   3.10366566E-10   3.36397328E-08   7.33809519E+00   8.68681490E-01   2.74399936E-01   1.44715577E-01   9.21253586E+00   6.77620530E-01   -3.24026227E-01   1.15755707E-01   1.49974310E+00   9.60574562E+05   6.05679369E+00   1.68194115E+00   1.62477962E+06   7.40221310E+00 
0 450 9.74134440E-10   8.62979519E-08   1.95302352E-08   1.30145459E-08   2.59645350E-09   3.12254334E-10   3.19667990E-08   7.29680586E+00   8.61330807E-01   2.75208831E-01   1.45575345E-01   9.21050835E+00   6.77889943E-01   -3.23587507E-01   1.15785271E-01   1.49438059E+00   9.50115875E+05   6.03720045E+00   1.68196571E+00   1.62397388E+06   7.40045309E+00 
0 460 9.52384505E-10   8.39012912E-08   1.89617086E-08   1.24825341E-08   2.51459720E-09   3.14312937E-10   3.04663708E-08   7.25842428E+00   8.54253232E-01   2.76295245E-01   1.46389693E-01   9.20860863E+00   6.78115010E-01   -3.23137283E-01   1.15813196E-01   1.48935997E+00   9.40318000E+05   6.01884508E+00   1.68198872E+00   1.62321875E+06   7.39880323E+00 
0 470 9.28369603E-10   8.15654104E-08   1.83988789E-08   1.19631673E-08   2.41546028E-09   3.16525389E-10   2.91697386E-08   7.22281170E+00   8.47509444E-01   2.77846068E-01   1.47159874E-01   9.20690536E+00   6.78321123E-01   -3.22653085E-01   1.15838625E-01   1.48462713E+00   9.31076688E+05   6.00153255E+00   1.68200898E+00   1.62254312E+06   7.39732742E+00 
0 480 9.02255437E-10   7.92709614E-08   1.78214279E-08   1.14644338E-08   2.31029418E-09   3.18869348E-10   2.80927583E-08   7.18981838E+00   8.41054618E-01   2.79880524E-01   1.47887826E-01   9.20544910E+00   6.78522527E-01   -3.22147369E-01   1.15860984E-01   1.48014688E+00   9.22323750E+05   5.98513460E+00   1.68202627E+00   1.62196650E+06   7.39606762E+00 
0 490 8.75896522E-10   7.69956401E-08   1.72344023E-08   1.09920650E-08   2.21399921E-09   3.21322108E-10   2.72221765E-08   7.15933084E+00   8.34909320E-01   2.82424182E-01   1.48574889E-01   9.20424557E+00   6.78723156E-01   -3.21649253E-01   1.15880229E-01   1.47590041E+00   9.14023312E+05   5.96958447E+00   1.68204045E+00   1.62149050E+06   7.39502764E+00 
0 500 8.51388848E-10   7.47187983E-08   1.66571290E-08   1.05603899E-08   2.13630358E-09   3.23864741E-10   2.65432618E-08   7.13132811E+00   8.29046190E-01   2.85514683E-01   1.49220631E-01   9.20325756E+00   6.78917766E-01   -3.21193904E-01   1.15896799E-01   1.47188425E+00   9.06169500E+05   5.95487118E+00   1.68205202E+00   1.62110100E+06   7.39417696E+00 
0 510 8.27707458E-10   7.24414733E-08   1.60942477E-08   1.01729034E-08   2.06630646E-09   3.26469990E-10   2.60131898E-08   7.10573292E+00   8.23464632E-01   2.89134264E-01   1.49825811E-01   9.20242882E+00   6.79098666E-01   -3.20791215E-01   1.15911402E-01   1.46807742E+00   8.99305312E+05   5.94099188E+00   1.68206167E+00   1.62077562E+06   7.39346647E+00 
0 520 8.03718592E-10   7.01642264E-08   1.55538409E-08   9.82039428E-09   1.99212047E-09   3.29111322E-10   2.55680987E-08   7.08249617E+00   8.17965508E-01   2.93341964E-01   1.50391281E-01   9.20170593E+00   6.79256141E-01   -3.20426196E-01   1.15924664E-01   1.46442926E+00   8.93907375E+05   5.92783546E+00   1.68206990E+00   1.62049400E+06   7.39285088E+00 
