RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 330 8.61794747E-10   4.36106298E-08   9.32933020E-09   5.37623990E-09   1.87625893E-09   1.95007205E-10   3.42133504E-08   9.08391094E+00   -4.70448971E-01   -3.15972030E-01   1.18586861E-01   9.09271717E+00   -4.88297522E-01   -2.79001236E-01   1.18638761E-01   1.68253469E+00   1.60307175E+06   7.35479116E+00   1.68341506E+00   1.54262038E+06   7.22273302E+00 
0 340 8.24415758E-10   4.14558663E-08   9.04581654E-09   5.27035304E-09   1.72240222E-09   1.92147603E-10   3.08176666E-08   9.08255482E+00   -4.70550597E-01   -3.12473327E-01   1.18598051E-01   9.09132767E+00   -4.89414334E-01   -2.76559114E-01   1.18648343E-01   1.68256533E+00   1.60178450E+06   7.35197926E+00   1.68341768E+00   1.54210675E+06   7.22161055E+00 
0 350 7.76986864E-10   3.94749264E-08   8.81443540E-09   5.14914067E-09   1.54359048E-09   1.89143021E-10   2.77807750E-08   9.08063030E+00   -4.70724881E-01   -3.08848530E-01   1.18618749E-01   9.08974266E+00   -4.90310371E-01   -2.74050385E-01   1.18659340E-01   1.68259501E+00   1.60051188E+06   7.34919882E+00   1.68341911E+00   1.54181062E+06   7.22096395E+00 
0 360 7.40553008E-10   3.76607581E-08   8.62081073E-09   4.96932984E-09   1.44795165E-09   1.86047969E-10   2.50756322E-08   9.07825375E+00   -4.70857352E-01   -3.05268824E-01   1.18647277E-01   9.08801365E+00   -4.91079211E-01   -2.71396399E-01   1.18671663E-01   1.68262339E+00   1.59927500E+06   7.34649706E+00   1.68341959E+00   1.54172638E+06   7.22077942E+00 
0 370 7.19934334E-10   3.59985357E-08   8.44084358E-09   4.75439510E-09   1.43464307E-09   1.82843365E-10   2.26987922E-08   9.07555008E+00   -4.70896930E-01   -3.01822245E-01   1.18681841E-01   9.08603859E+00   -4.91787821E-01   -2.68686593E-01   1.18686989E-01   1.68264997E+00   1.59810300E+06   7.34393692E+00   1.68341923E+00   1.54178675E+06   7.22091150E+00 
0 380 7.03454572E-10   3.44861064E-08   8.25464586E-09   4.55545823E-09   1.41859424E-09   1.79539217E-10   2.06544097E-08   9.07267952E+00   -4.70878184E-01   -2.98522711E-01   1.18720174E-01   9.08371830E+00   -4.92428839E-01   -2.66129971E-01   1.18706614E-01   1.68267369E+00   1.59703550E+06   7.34160471E+00   1.68341863E+00   1.54191175E+06   7.22118473E+00 
0 390 6.76545708E-10   3.31131069E-08   8.05657319E-09   4.40295223E-09   1.33981748E-09   1.76078971E-10   1.89060376E-08   9.06980038E+00   -4.70858961E-01   -2.95417696E-01   1.18759841E-01   9.08111286E+00   -4.92930949E-01   -2.63976067E-01   1.18729867E-01   1.68269360E+00   1.59612975E+06   7.33962631E+00   1.68341804E+00   1.54204650E+06   7.22147894E+00 
0 400 6.34266417E-10   3.18678310E-08   7.84793475E-09   4.29461178E-09   1.21182153E-09   1.72519582E-10   1.73938943E-08   9.06708717E+00   -4.70898688E-01   -2.92569816E-01   1.18798286E-01   9.07838249E+00   -4.93239701E-01   -2.62314498E-01   1.18754841E-01   1.68270886E+00   1.59542525E+06   7.33808708E+00   1.68341732E+00   1.54218575E+06   7.22178316E+00 
0 410 5.86234283E-10   3.07278256E-08   7.63279662E-09   4.19334123E-09   1.11918685E-09   1.68808204E-10   1.60716525E-08   9.06466961E+00   -4.71041113E-01   -2.90055156E-01   1.18833467E-01   9.07573891E+00   -4.93339241E-01   -2.61167258E-01   1.18778937E-01   1.68271923E+00   1.59494350E+06   7.33703470E+00   1.68341649E+00   1.54235212E+06   7.22214651E+00 
0 420 5.47753509E-10   2.96769915E-08   7.42285611E-09   4.05889322E-09   1.13307264E-09   1.65048586E-10   1.49231170E-08   9.06263924E+00   -4.71271366E-01   -2.87933737E-01   1.18863963E-01   9.07337284E+00   -4.93261844E-01   -2.60310739E-01   1.18799746E-01   1.68272460E+00   1.59469275E+06   7.33648682E+00   1.68341517E+00   1.54259162E+06   7.22267008E+00 
0 430 5.22907440E-10   2.87035302E-08   7.22656379E-09   3.90063981E-09   1.20450627E-09   1.61313754E-10   1.39565763E-08   9.06098175E+00   -4.71526206E-01   -2.86320597E-01   1.18889622E-01   9.07143974E+00   -4.93037939E-01   -2.59585500E-01   1.18815355E-01   1.68272555E+00   1.59464925E+06   7.33639193E+00   1.68341339E+00   1.54294912E+06   7.22345114E+00 
0 440 5.03257547E-10   2.77990253E-08   7.05215353E-09   3.77280429E-09   1.23558797E-09   1.57540050E-10   1.31875595E-08   9.05956554E+00   -4.71762776E-01   -2.85232842E-01   1.18911870E-01   9.06995678E+00   -4.92744386E-01   -2.58846670E-01   1.18825570E-01   1.68272293E+00   1.59477050E+06   7.33665705E+00   1.68341076E+00   1.54343638E+06   7.22451544E+00 
