X_coord,Y_coord,Ref_Wind,Num_Turb,Sim_ID,Turbine,Wind_Direction,X_rotated,Y_rotated
4480.0,0.0,5.1995244,80,hornsrev_254_8,T81,-16,4306.452397803669,-1234.8553540601563
4539.0,-558.0,5.20429707,80,hornsrev_254_8,T82,-16,4209.361193318145,-1787.501984386941
4599.0,-1116.0,5.19258213,80,hornsrev_254_8,T83,-16,4113.231250528557,-2340.424252069543
4658.0,-1674.0,5.19453001,80,hornsrev_254_8,T84,-16,4016.1400460430327,-2893.070882396328
4718.0,-2231.0,5.18541765,80,hornsrev_254_8,T85,-16,3920.285740609264,-3445.0318883829914
4777.0,-2789.0,5.19303274,80,hornsrev_254_8,T86,-16,3823.1945361237385,-3997.6785187097767
4837.0,-3347.0,5.49460077,80,hornsrev_254_8,T87,-16,3727.064593334153,-4550.600786392379
4896.0,-3904.0,6.08686638,80,hornsrev_254_8,T88,-16,3630.249026204445,-5102.286155023225
5040.0,0.0,5.19634581,80,hornsrev_254_8,T91,-16,4844.758947529127,-1389.2122733176757
5100.0,-558.0,5.20408869,80,hornsrev_254_8,T92,-16,4748.629004739541,-1942.1345410002775
5159.0,-1116.0,5.19498205,80,hornsrev_254_8,T93,-16,4651.5378002540165,-2494.7811713270626
5219.0,-1674.0,5.20171356,80,hornsrev_254_8,T94,-16,4555.40785746443,-3047.703439009664
5278.0,-2231.0,5.18946743,80,hornsrev_254_8,T95,-16,4458.592290334722,-3599.388807640511
5338.0,-2789.0,5.21340418,80,hornsrev_254_8,T96,-16,4362.462347545135,-4152.311075323113
5397.0,-3347.0,5.50839138,80,hornsrev_254_8,T97,-16,4265.37114305961,-4704.957705649898
5457.0,-3904.0,6.12023735,80,hornsrev_254_8,T98,-16,4169.516837625842,-5256.918711636561
0.0,0.0,6.11944866,80,hornsrev_255_8,T1,-15,0.0,0.0
59.0,-558.0,6.10789824,80,hornsrev_255_8,T2,-15,-87.43140341615154,-554.2569347303488
118.0,-1116.0,6.09891558,80,hornsrev_255_8,T3,-15,-174.86280683230308,-1108.5138694606976
177.0,-1674.0,6.09858704,80,hornsrev_255_8,T4,-15,-262.2942102484546,-1662.7708041910466
235.0,-2231.0,6.08795881,80,hornsrev_255_8,T5,-15,-350.4327204457927,-2215.802994050004
294.0,-2789.0,6.10810518,80,hornsrev_255_8,T6,-15,-437.8641238619443,-2770.0599287803525
353.0,-3347.0,6.08750105,80,hornsrev_255_8,T7,-15,-525.2955272780958,-3324.3168635107013
412.0,-3904.0,6.10151815,80,hornsrev_255_8,T8,-15,-612.4681116491447,-3877.607872414761
560.0,0.0,6.11742735,80,hornsrev_255_8,T11,-15,540.9184627218782,-144.93866525741163
619.0,-558.0,6.10891962,80,hornsrev_255_8,T12,-15,453.4870593057267,-699.1955999877605
678.0,-1116.0,6.09960747,80,hornsrev_255_8,T13,-15,366.0556558895751,-1253.4525347181093
737.0,-1674.0,6.09870815,80,hornsrev_255_8,T14,-15,278.62425247342367,-1807.709469448458
796.0,-2231.0,6.10593367,80,hornsrev_255_8,T15,-15,191.45166810237455,-2361.000478352518
855.0,-2789.0,6.11236668,80,hornsrev_255_8,T16,-15,104.02026468622309,-2915.2574130828666
914.0,-3347.0,6.05204153,80,hornsrev_255_8,T17,-15,16.588861270071448,-3469.5143478132154
973.0,-3904.0,6.08806705,80,hornsrev_255_8,T18,-15,-70.58372310097741,-4022.805356717276
1120.0,0.0,6.11092329,80,hornsrev_255_8,T21,-15,1081.8369254437564,-289.87733051482326
1179.0,-558.0,6.10214186,80,hornsrev_255_8,T22,-15,994.405522027605,-844.1342652451721
1238.0,-1116.0,6.09355736,80,hornsrev_255_8,T23,-15,906.9741186114534,-1398.391199975521
1297.0,-1674.0,6.09370136,80,hornsrev_255_8,T24,-15,819.5427151953019,-1952.6481347058696
1356.0,-2231.0,6.10014772,80,hornsrev_255_8,T25,-15,732.3701308242528,-2505.939143609929
1415.0,-2789.0,6.10487413,80,hornsrev_255_8,T26,-15,644.9387274081014,-3060.1960783402783
1474.0,-3347.0,6.07413864,80,hornsrev_255_8,T27,-15,557.5073239919498,-3614.453013070627
