,Fingerprint(G2),Fingerprint(G4),Ref_Wind_Speed
790,0.9776629177181335,0.9420573864378197,7.23991346
791,1.0,1.0,7.38241148
792,1.0,1.0,7.32821846
793,1.0,1.0,7.3866744
794,0.8985383256774039,0.6965967561018368,7.090518
795,1.0,1.0,7.31784964
796,1.0,1.0,7.30227184
797,0.8662452303962789,0.6250664849536851,6.54281044
798,1.0,1.0,7.4797616
799,1.0,1.0,7.57623148
800,1.0,1.0,7.47360182
801,1.0,1.0,7.56752729
802,1.0,1.0,7.46784782
803,1.0,1.0,7.55792332
804,1.0,1.0,7.49173546
805,1.0,1.0,7.51761532
806,1.0,1.0,7.48339224
807,1.0,1.0,7.50035381
808,1.0,1.0,7.44775724
809,1.0,1.0,7.49375725
810,1.0,1.0,7.43949652
811,1.0,1.0,7.45918131
812,1.0,1.0,7.4412384
813,1.0,1.0,7.42024326
814,1.0,1.0,7.44484901
815,0.9999447637104836,0.9999832285976411,7.36896563
816,1.0,1.0,7.43987465
817,0.9841383724689967,0.9948356923920378,7.32154608
818,1.0,1.0,7.43814945
819,0.9454985803731498,0.9809720656374212,7.24805546
820,1.0,1.0,7.4262557
821,0.8909324872275235,0.9591681822900094,7.1765461
822,1.0,1.0,7.42346907
823,0.8263892751249091,0.9303053679853172,7.08723116
824,1.0,1.0,7.41898584
825,0.7568852805745458,0.8953465601812813,6.97298098
826,1.0,1.0,7.40453577
827,0.6865390934743085,0.8553078022424401,6.83376694
828,1.0,1.0,7.39596319
829,0.6186161839764228,0.8112254418436851,6.6922574
830,1.0,1.0,7.39225912
831,0.5555824787158788,0.7641196030881687,6.5718832
832,1.0,1.0,7.38424873
833,0.49916623337632404,0.714954786098138,6.43158913
834,1.0,1.0,7.37088966
835,0.4504274797425163,0.6645987821962356,6.26610184
836,1.0,1.0,7.37247229
837,0.40983426276915047,0.6137814819405394,6.10291862
838,1.0,1.0,7.37003851
839,0.37734482727130736,0.5630556021101947,5.95289993
840,1.0,1.0,7.3668952
841,0.3524948650473636,0.5127618712249591,5.78274298
842,1.0,1.0,7.35494661
843,0.3344888919598976,0.4630017962987333,5.60295486
844,1.0,1.0,7.36029863
845,0.32229479104375447,0.4136217912031519,5.44060326
846,1.0,1.0,7.35583973
847,0.31474053234108135,0.36421318406489067,5.29856777
848,1.0,1.0,7.3424077
