,Fingerprint(G2),Fingerprint(G4),Fingerprint(G6),Ref_Wind_Speed
1225,1.0,1.0,1.0,7.48489571
1226,1.0,1.0,1.0,7.48770285
1227,1.0,1.0,1.0,7.47610044
1228,1.0,1.0,1.0,7.46116877
1229,1.0,1.0,1.0,7.44887638
1230,0.9999448097301147,0.9999687854059119,1.0,7.43963814
1231,1.0,1.0,1.0,7.45597649
1232,0.9677581041533371,0.9804460176335394,1.0,7.38600874
1233,1.0,1.0,1.0,7.44837809
1234,0.8953218824511311,0.9319246274027919,1.0,7.32946205
1235,1.0,1.0,1.0,7.44512367
1236,0.8053310533156018,0.8642467372004822,1.0,7.23069859
1237,1.0,1.0,1.0,7.42237854
1238,0.7141508485438796,0.7862481021386016,1.0,7.13069677
1239,1.0,1.0,1.0,7.41932201
1240,0.632568994453433,0.7053758463707256,1.0,6.99712706
1241,1.0,1.0,1.0,7.4141016
1242,0.5666060683532934,0.6273553871582214,1.0,6.84518623
1243,1.0,1.0,1.0,7.40241003
1244,0.518375130569494,0.5559412828451491,1.0,6.65504789
1245,1.0,1.0,1.0,7.39769173
1246,0.48698131472279416,0.49279426724070285,1.0,6.48653412
1247,1.0,1.0,1.0,7.40446377
1248,0.46945172981415717,0.4375352014608693,1.0,6.29007387
1249,1.0,1.0,1.0,7.39892721
1250,0.46168577974940206,0.38803614512421125,1.0,6.07887554
1251,1.0,1.0,1.0,7.39593506
1252,0.45941584115012124,0.34101927941297694,1.0,5.88262033
1253,1.0,1.0,1.0,7.38769865
1254,0.45916815992016724,0.2930460587905557,1.0,5.69514561
1255,1.0,1.0,1.0,7.38160372
1256,0.4591678669602205,0.24192734745508437,1.0,5.53682709
1257,1.0,1.0,1.0,7.38449478
1258,0.4591678669602206,0.18711276400592725,1.0,5.39785814
1259,1.0,1.0,1.0,7.39462757
1260,0.4591678669602206,0.1283346573395414,1.0,5.3146081
1261,1.0,1.0,1.0,7.39993382
1262,0.4591678669602205,0.06530643371925693,1.0,5.29913807
1263,1.0,1.0,1.0,7.3936882
1264,0.4591678669602206,0.1283346573395414,1.0,5.35068798
1265,1.0,1.0,1.0,7.38426971
1266,0.4591678669602206,0.18711276400592725,1.0,5.46127558
1267,1.0,1.0,1.0,7.38115644
1268,0.4591678669602205,0.24192734745508437,1.0,5.62971115
1269,1.0,1.0,1.0,7.38746834
1270,0.45916815992016724,0.2930460587905557,1.0,5.80675602
1271,1.0,1.0,1.0,7.39548683
1272,0.45941584115012124,0.34101927941297694,1.0,6.00011683
1273,1.0,1.0,1.0,7.39841413
1274,0.46168577974940206,0.38803614512421125,1.0,6.1916256
1275,1.0,1.0,1.0,7.40378428
1276,0.46945172981415717,0.4375352014608693,1.0,6.39298868
1277,1.0,1.0,1.0,7.39753962
1278,0.48698131472279416,0.49279426724070285,1.0,6.57709789
1279,1.0,1.0,1.0,7.40261412
1280,0.518375130569494,0.5559412828451491,1.0,6.74213743
1281,1.0,1.0,1.0,7.41478968
1282,0.5666060683532934,0.6273553871582214,1.0,6.92601395
1283,1.0,1.0,1.0,7.4194212
1284,0.632568994453433,0.7053758463707256,1.0,7.06059313
1285,1.0,1.0,1.0,7.42289734
1286,0.7141508485438796,0.7862481021386016,1.0,7.1804347
1287,1.0,1.0,1.0,7.44557571
1288,0.8053310533156018,0.8642467372004822,1.0,7.26930714
1289,1.0,1.0,1.0,7.44803143
1290,0.8953218824511311,0.9319246274027919,1.0,7.35846424
1291,1.0,1.0,1.0,7.45624113
1292,0.9677581041533371,0.9804460176335394,1.0,7.40719414
1293,1.0,1.0,1.0,7.44871664
1294,0.9999448097301147,0.9999687854059119,1.0,7.45458984
1295,1.0,1.0,1.0,7.47651815
1296,1.0,1.0,1.0,7.47210121
1297,1.0,1.0,1.0,7.48494577
1298,1.0,1.0,1.0,7.49553871
1299,1.0,1.0,1.0,7.47972727
1300,1.0,1.0,1.0,7.50868988
1301,1.0,1.0,1.0,7.48390532
1302,1.0,1.0,1.0,7.51325083
1303,1.0,1.0,1.0,7.4838624
1304,1.0,1.0,1.0,7.51527119
1305,1.0,1.0,1.0,7.48597097
1306,1.0,1.0,1.0,7.53126192
1307,1.0,1.0,1.0,7.4897933
1308,1.0,1.0,1.0,7.53143454
1309,1.0,1.0,1.0,7.48954058
1310,1.0,1.0,1.0,7.53799009
1311,1.0,1.0,1.0,7.50600529
1312,1.0,1.0,1.0,7.53815508
1313,1.0,1.0,1.0,7.49700832
1314,1.0,1.0,1.0,7.56587791
1315,1.0,1.0,1.0,7.49127817
1316,1.0,1.0,1.0,7.57453346
1317,1.0,1.0,1.0,7.51653194
1318,1.0,1.0,1.0,7.55532026
1319,1.0,1.0,1.0,7.50884008
1320,1.0,1.0,1.0,7.56179237
1321,1.0,1.0,1.0,7.52085543
1322,1.0,1.0,1.0,7.56341171
1323,1.0,1.0,1.0,7.52745771
1324,1.0,1.0,1.0,7.56338596
1325,1.0,1.0,1.0,7.52057076
1326,1.0,1.0,1.0,7.5633769
1327,1.0,1.0,1.0,7.52492237
1328,1.0,1.0,1.0,7.55270672
1329,1.0,1.0,1.0,7.51184797
1330,1.0,1.0,1.0,7.56140518
1331,1.0,1.0,1.0,7.50623131
1332,1.0,1.0,1.0,7.55692482
1333,1.0,1.0,1.0,7.51009703
1334,1.0,1.0,1.0,7.53644514
1335,1.0,1.0,1.0,7.49208546
1336,1.0,1.0,1.0,7.53087807
1337,1.0,1.0,1.0,7.49801922
1338,1.0,1.0,1.0,7.53140259
1339,1.0,1.0,1.0,7.49398899
1340,1.0,1.0,1.0,7.52367783
1341,1.0,1.0,1.0,7.48588657
1342,1.0,1.0,1.0,7.52668953
1343,1.0,1.0,1.0,7.49330616
1344,1.0,1.0,1.0,7.51414347
1345,1.0,1.0,1.0,7.48374319
1346,1.0,1.0,1.0,7.51482773
1347,1.0,1.0,1.0,7.48099566
1348,1.0,1.0,1.0,7.51669979
1349,1.0,1.0,1.0,7.47155571
1350,1.0,1.0,1.0,7.49645901
