RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   probe3@MHH@63.3_V_x   probe3@MHH@63.3_V_y   probe3@MHH@63.3_V_z   probe3@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T003_omega   T003_power   T003_uref   T002_omega   T002_power   T002_uref 
0 310 3.08119108E-09   1.59746449E-07   9.95747982E-08   9.76183117E-08   9.46610346E-09   1.92374991E-10   8.10861422E-08   5.77868271E+00   -9.03885961E-02   -2.02466175E-02   1.10415772E-01   5.66893578E+00   2.90686265E-02   5.57679273E-02   1.12502024E-01   5.78179884E+00   -2.05420218E-02   2.33887881E-02   1.10379912E-01   1.01415837E+00   3.21540375E+05   4.39363956E+00   1.02073371E+00   3.26790406E+05   4.41726923E+00   1.00929451E+00   3.17650781E+05   4.37613297E+00 
0 320 2.80365642E-09   1.49703595E-07   9.11383751E-08   8.95070897E-08   8.64263328E-09   1.91688276E-10   7.72133149E-08   5.77320671E+00   -9.00934339E-02   -2.12282278E-02   1.10523947E-01   5.65761948E+00   3.87077518E-02   5.28680570E-02   1.12739451E-01   5.77275944E+00   -2.02680342E-02   2.18918063E-02   1.10556252E-01   1.01328659E+00   3.20843625E+05   4.39050341E+00   1.01904213E+00   3.25440656E+05   4.41119432E+00   1.00707102E+00   3.15870844E+05   4.36812162E+00 
0 330 2.53859711E-09   1.40579985E-07   8.33648315E-08   8.19980173E-08   7.78350362E-09   1.90863741E-10   7.36727301E-08   5.76855993E+00   -8.95587504E-02   -2.27046590E-02   1.10614099E-01   5.65160084E+00   4.71412614E-02   4.80701104E-02   1.12869121E-01   5.76630354E+00   -1.87018979E-02   2.02509109E-02   1.10682279E-01   1.01255870E+00   3.20261750E+05   4.38788462E+00   1.01791346E+00   3.24539812E+05   4.40713978E+00   1.00600064E+00   3.15013594E+05   4.36426306E+00 
0 340 2.43255061E-09   1.32944777E-07   7.64273622E-08   7.44612834E-08   7.50960005E-09   1.89741209E-10   7.05466547E-08   5.76432562E+00   -8.87225121E-02   -2.32043210E-02   1.10694781E-01   5.64866066E+00   5.47461212E-02   4.44371849E-02   1.12932824E-01   5.76281166E+00   -1.66315343E-02   1.97414123E-02   1.10750534E-01   1.01189780E+00   3.19733250E+05   4.38550568E+00   1.01741326E+00   3.24140438E+05   4.40534210E+00   1.00551057E+00   3.14621094E+05   4.36249638E+00 
0 350 2.37511122E-09   1.26752568E-07   7.09414749E-08   6.74026737E-08   7.40290673E-09   1.88220842E-10   6.79213485E-08   5.76003218E+00   -8.76728147E-02   -2.20107213E-02   1.10776260E-01   5.64496708E+00   6.24120347E-02   4.38085683E-02   1.13007359E-01   5.76110029E+00   -1.54001499E-02   2.08977181E-02   1.10784084E-01   1.01121879E+00   3.19190250E+05   4.38306189E+00   1.01727271E+00   3.24028219E+05   4.40483713E+00   1.00475800E+00   3.14018094E+05   4.35978222E+00 
0 360 2.17265650E-09   1.22035104E-07   6.68076723E-08   6.14269027E-08   6.70512845E-09   1.86213295E-10   6.56444641E-08   5.75557232E+00   -8.66154879E-02   -1.95058174E-02   1.10862061E-01   5.63760614E+00   7.07959756E-02   4.58551086E-02   1.13153018E-01   5.75942135E+00   -1.57837179E-02   2.33426392E-02   1.10817522E-01   1.01050782E+00   3.18621531E+05   4.38050175E+00   1.01709902E+00   3.23889500E+05   4.40421247E+00   1.00316978E+00   3.12745250E+05   4.35405350E+00 
0 370 1.90720728E-09   1.18416544E-07   6.27714201E-08   5.62137572E-08   5.73447911E-09   1.83793619E-10   6.35244888E-08   5.75130892E+00   -8.57177377E-02   -1.67694334E-02   1.10946380E-01   5.62637472E+00   7.98315555E-02   4.87284288E-02   1.13376409E-01   5.75655365E+00   -1.73224770E-02   2.60892995E-02   1.10875547E-01   1.00983596E+00   3.18084031E+05   4.37808275E+00   1.01662016E+00   3.23507125E+05   4.40249157E+00   1.00076950E+00   3.10820531E+05   4.34539032E+00 
0 380 1.82674753E-09   1.14821830E-07   5.78616977E-08   5.11996170E-08   5.51543833E-09   1.81098955E-10   6.12811633E-08   5.74783516E+00   -8.50563124E-02   -1.48320580E-02   1.11018173E-01   5.61368990E+00   8.88566300E-02   5.06155454E-02   1.13630936E-01   5.75237608E+00   -1.86903626E-02   2.80499365E-02   1.10961273E-01   1.00931275E+00   3.17665312E+05   4.37619829E+00   1.01581717E+00   3.22865812E+05   4.39960480E+00   9.98094797E-01   3.08674188E+05   4.33573008E+00 
0 390 1.87418858E-09   1.10617378E-07   5.26446158E-08   4.64045975E-08   5.80929571E-09   1.78328657E-10   5.87736508E-08   5.74557018E+00   -8.46072435E-02   -1.41279921E-02   1.11068845E-01   5.60279083E+00   9.72155109E-02   5.09084873E-02   1.13851666E-01   5.74771547E+00   -1.87217612E-02   2.85404325E-02   1.11058421E-01   1.00901377E+00   3.17426062E+05   4.37512112E+00   1.01488793E+00   3.22123406E+05   4.39626360E+00   9.95805681E-01   3.06836000E+05   4.32745647E+00 
0 400 1.80575122E-09   1.06253502E-07   4.82852975E-08   4.21812061E-08   5.60409141E-09   1.75689935E-10   5.61096627E-08   5.74448967E+00   -8.42747092E-02   -1.44372443E-02   1.11097649E-01   5.59564066E+00   1.04648709E-01   5.02533205E-02   1.13998152E-01   5.74367189E+00   -1.72129646E-02   2.75847111E-02   1.11144163E-01   1.00893056E+00   3.17359531E+05   4.37482166E+00   1.01408494E+00   3.21481750E+05   4.39337540E+00   9.94277656E-01   3.05608312E+05   4.32193089E+00 
0 410 1.61740532E-09   1.02291409E-07   4.48525874E-08   3.85869647E-08   4.87399010E-09   1.73301970E-10   5.35066960E-08   5.74412203E+00   -8.39767605E-02   -1.52191129E-02   1.11112237E-01   5.59197330E+00   1.11232638E-01   4.98115681E-02   1.14074990E-01   5.74084568E+00   -1.49561632E-02   2.58567054E-02   1.11204907E-01   1.00896823E+00   3.17389656E+05   4.37495756E+00   1.01353538E+00   3.21042531E+05   4.39139843E+00   9.93440032E-01   3.04935062E+05   4.31890059E+00 
0 420 1.48396206E-09   9.87325066E-08   4.16660768E-08   3.54630139E-08   4.35360592E-09   1.71189521E-10   5.12210967E-08   5.74378204E+00   -8.36871415E-02   -1.60136689E-02   1.11124590E-01   5.58994007E+00   1.17097683E-01   5.03395908E-02   1.14119232E-01   5.73895550E+00   -1.30457394E-02   2.42949221E-02   1.11244991E-01   1.00898862E+00   3.17405938E+05   4.37503052E+00   1.01315939E+00   3.20741938E+05   4.39004564E+00   9.92916524E-01   3.04514250E+05   4.31700659E+00 
0 430 1.44905565E-09   9.55394697E-08   3.85511463E-08   3.27627774E-08   4.29986224E-09   1.69321362E-10   4.94043348E-08   5.74288750E+00   -8.33954662E-02   -1.66319516E-02   1.11145288E-01   5.58759785E+00   1.22288480E-01   5.16958609E-02   1.14169993E-01   5.73705435E+00   -1.20618232E-02   2.35940181E-02   1.11283094E-01   1.00887334E+00   3.17313656E+05   4.37461519E+00   1.01273739E+00   3.20404594E+05   4.38852739E+00   9.92315769E-01   3.04031281E+05   4.31483269E+00 
0 440 1.39423462E-09   9.28726607E-08   3.58163277E-08   3.04445109E-08   4.22632862E-09   1.67612910E-10   4.78715485E-08   5.74119473E+00   -8.30883309E-02   -1.70828607E-02   1.11179084E-01   5.58407593E+00   1.26838714E-01   5.30515797E-02   1.14244476E-01   5.73417568E+00   -1.17428936E-02   2.38688998E-02   1.11339301E-01   1.00857317E+00   3.17073469E+05   4.37353420E+00   1.01206946E+00   3.19870500E+05   4.38612366E+00   9.91454899E-01   3.03338969E+05   4.31171656E+00 
0 450 1.26684896E-09   9.05972755E-08   3.36039179E-08   2.83725790E-08   3.89399446E-09   1.66064787E-10   4.65740371E-08   5.73884821E+00   -8.27647075E-02   -1.73957553E-02   1.11223847E-01   5.57977772E+00   1.30885467E-01   5.35838082E-02   1.14334039E-01   5.72994757E+00   -1.12892296E-02   2.46874392E-02   1.11422248E-01   1.00812244E+00   3.16712688E+05   4.37191057E+00   1.01110733E+00   3.19101125E+05   4.38266039E+00   9.90399718E-01   3.02490219E+05   4.30789661E+00 
0 460 1.10933163E-09   8.83001263E-08   3.18066533E-08   2.64217412E-08   3.45451134E-09   1.64681449E-10   4.53301006E-08   5.73625565E+00   -8.24320242E-02   -1.75109897E-02   1.11272722E-01   5.57574129E+00   1.34610534E-01   5.31038418E-02   1.14417195E-01   5.72477436E+00   -1.00112138E-02   2.54009236E-02   1.11524835E-01   1.00761437E+00   3.16305906E+05   4.37007952E+00   1.00997233E+00   3.18193125E+05   4.37857389E+00   9.89350200E-01   3.01645750E+05   4.30409575E+00 
0 470 9.60773239E-10   8.58370868E-08   3.02379490E-08   2.46159644E-08   3.02551451E-09   1.63463021E-10   4.39628849E-08   5.73388243E+00   -8.21108595E-02   -1.73045732E-02   1.11317739E-01   5.57283974E+00   1.38021752E-01   5.21476790E-02   1.14476092E-01   5.71948385E+00   -7.83338025E-03   2.55272333E-02   1.11630820E-01   1.00715566E+00   3.15938656E+05   4.36842680E+00   1.00885677E+00   3.17300438E+05   4.37455606E+00   9.88484085E-01   3.00948656E+05   4.30095816E+00 
0 480 8.40991665E-10   8.34193443E-08   2.86697777E-08   2.29816628E-08   2.61848410E-09   1.62400274E-10   4.24084128E-08   5.73206949E+00   -8.18178728E-02   -1.67100057E-02   1.11353025E-01   5.57131052E+00   1.40826300E-01   5.15531637E-02   1.14506252E-01   5.71473980E+00   -5.27813146E-03   2.49910317E-02   1.11726493E-01   1.00682378E+00   3.15672875E+05   4.36723042E+00   1.00789142E+00   3.16527688E+05   4.37107801E+00   9.87860143E-01   3.00446406E+05   4.29869747E+00 
