RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 440 4.41039338E-09   8.45854231E-08   1.20897674E-08   5.99314509E-09   4.15139345E-09   1.17468213E-09   8.06711711E-08   1.91413784E+01   1.35848045E+00   1.35684416E-01   1.10710979E-01   1.96359901E+01   1.37905633E+00   1.02732792E-01   1.07840337E-01   1.67668235E+00   2.30000000E+06   1.87521935E+01   1.67621243E+00   2.30000000E+06   1.91606026E+01 
0 450 4.27065805E-09   7.90519579E-08   1.15054757E-08   5.63405678E-09   4.20235846E-09   1.14426946E-09   7.46953717E-08   1.91406441E+01   1.35868824E+00   1.36092216E-01   1.10722102E-01   1.96355686E+01   1.37929809E+00   1.02564663E-01   1.07842825E-01   1.67668211E+00   2.30000000E+06   1.87520332E+01   1.67621255E+00   2.30000000E+06   1.91605568E+01 
0 460 4.12359613E-09   7.38989812E-08   1.09499103E-08   5.40851852E-09   4.16598400E-09   1.11448517E-09   6.95196434E-08   1.91401119E+01   1.35885620E+00   1.36429980E-01   1.10732086E-01   1.96352596E+01   1.37951672E+00   1.02360368E-01   1.07844643E-01   1.67668223E+00   2.30000000E+06   1.87520828E+01   1.67621243E+00   2.30000000E+06   1.91605949E+01 
0 470 3.94918231E-09   6.91104418E-08   1.04655147E-08   5.30519495E-09   4.03030276E-09   1.08535836E-09   6.50967635E-08   1.91396999E+01   1.35901713E+00   1.36592120E-01   1.10741362E-01   1.96351242E+01   1.37974536E+00   1.02148555E-01   1.07845455E-01   1.67668235E+00   2.30000000E+06   1.87522697E+01   1.67621195E+00   2.30000000E+06   1.91607685E+01 
0 480 3.76139342E-09   6.46649383E-08   1.00832827E-08   5.21960208E-09   3.97059097E-09   1.05701292E-09   6.14012308E-08   1.91393375E+01   1.35920775E+00   1.36564791E-01   1.10750228E-01   1.96351452E+01   1.38000906E+00   1.01977393E-01   1.07845321E-01   1.67668259E+00   2.30000000E+06   1.87525272E+01   1.67621100E+00   2.30000000E+06   1.91610699E+01 
0 490 3.60229713E-09   6.05361805E-08   9.79800419E-09   5.03477926E-09   4.20444124E-09   1.02954933E-09   5.83979478E-08   1.91389656E+01   1.35945332E+00   1.36425570E-01   1.10758938E-01   1.96352768E+01   1.38031685E+00   1.01891905E-01   1.07844494E-01   1.67668271E+00   2.30000000E+06   1.87527866E+01   1.67620981E+00   2.30000000E+06   1.91614532E+01 
0 500 3.50416496E-09   5.67073037E-08   9.58020596E-09   4.75099560E-09   4.61951144E-09   1.00294129E-09   5.60472557E-08   1.91385345E+01   1.35976815E+00   1.36296228E-01   1.10767722E-01   1.96354752E+01   1.38066554E+00   1.01918742E-01   1.07843220E-01   1.67668295E+00   2.30000000E+06   1.87529984E+01   1.67620850E+00   2.30000000E+06   1.91618862E+01 
0 510 3.46456797E-09   5.31730713E-08   9.39814360E-09   4.48544313E-09   4.85815432E-09   9.77054326E-10   5.42788499E-08   1.91380291E+01   1.36015213E+00   1.36283025E-01   1.10776708E-01   1.96357193E+01   1.38104701E+00   1.02068156E-01   1.07841603E-01   1.67668307E+00   2.30000000E+06   1.87531357E+01   1.67620707E+00   2.30000000E+06   1.91623573E+01 
0 520 3.46701379E-09   4.99252835E-08   9.22067578E-09   4.33755609E-09   4.69570205E-09   9.52071755E-10   5.29399813E-08   1.91374760E+01   1.36059284E+00   1.36436909E-01   1.10785827E-01   1.96360149E+01   1.38145328E+00   1.02340452E-01   1.07839659E-01   1.67668307E+00   2.30000000E+06   1.87532139E+01   1.67620540E+00   2.30000000E+06   1.91628685E+01 
0 530 3.50972540E-09   4.69422297E-08   9.01523833E-09   4.27897318E-09   4.18100488E-09   9.27983634E-10   5.18275058E-08   1.91369381E+01   1.36107433E+00   1.36739343E-01   1.10794812E-01   1.96363602E+01   1.38187563E+00   1.02732845E-01   1.07837401E-01   1.67668319E+00   2.30000000E+06   1.87532921E+01   1.67620373E+00   2.30000000E+06   1.91634312E+01 
0 540 3.60067265E-09   4.41923831E-08   8.75508022E-09   4.22367741E-09   3.55977292E-09   9.04727016E-10   5.07769684E-08   1.91365032E+01   1.36158061E+00   1.37128338E-01   1.10803239E-01   1.96367531E+01   1.38229847E+00   1.03241578E-01   1.07834868E-01   1.67668331E+00   2.30000000E+06   1.87534523E+01   1.67620182E+00   2.30000000E+06   1.91640434E+01 
0 550 3.73504028E-09   4.16545021E-08   8.43580850E-09   4.12763734E-09   3.09582804E-09   8.82289075E-10   4.97225727E-08   1.91362457E+01   1.36209154E+00   1.37540996E-01   1.10810719E-01   1.96371880E+01   1.38269556E+00   1.03859380E-01   1.07832141E-01   1.67668355E+00   2.30000000E+06   1.87537670E+01   1.67619967E+00   2.30000000E+06   1.91647091E+01 
0 560 3.88619181E-09   3.93191470E-08   8.07993228E-09   4.01022682E-09   2.85892865E-09   8.60640115E-10   4.86850560E-08   1.91362076E+01   1.36258233E+00   1.37927890E-01   1.10817023E-01   1.96376648E+01   1.38303530E+00   1.04571097E-01   1.07829243E-01   1.67668390E+00   2.30000000E+06   1.87542725E+01   1.67619753E+00   2.30000000E+06   1.91654301E+01 
0 570 4.01955225E-09   3.71736881E-08   7.72790543E-09   3.88803922E-09   2.73302114E-09   8.39740444E-10   4.77098787E-08   1.91363735E+01   1.36302841E+00   1.38257444E-01   1.10822193E-01   1.96382084E+01   1.38329029E+00   1.05344005E-01   1.07826091E-01   1.67668438E+00   2.30000000E+06   1.87549572E+01   1.67619491E+00   2.30000000E+06   1.91662331E+01 
0 580 4.10702627E-09   3.51983012E-08   7.41108508E-09   3.72387854E-09   2.63557309E-09   8.19601886E-10   4.68285961E-08   1.91366882E+01   1.36341047E+00   1.38520867E-01   1.10826492E-01   1.96388512E+01   1.38344550E+00   1.06123649E-01   1.07822523E-01   1.67668498E+00   2.30000000E+06   1.87557640E+01   1.67619205E+00   2.30000000E+06   1.91671467E+01 
0 590 4.13109813E-09   3.33684440E-08   7.13793202E-09   3.49850637E-09   2.56508348E-09   8.00244815E-10   4.60461642E-08   1.91370735E+01   1.36372209E+00   1.38719544E-01   1.10830314E-01   1.96396179E+01   1.38350177E+00   1.06839582E-01   1.07818387E-01   1.67668569E+00   2.30000000E+06   1.87566204E+01   1.67618871E+00   2.30000000E+06   1.91682034E+01 
0 600 4.08594003E-09   3.16633688E-08   6.89866697E-09   3.24340776E-09   2.52185361E-09   7.81661069E-10   4.53390925E-08   1.91374531E+01   1.36396873E+00   1.38862729E-01   1.10834025E-01   1.96405106E+01   1.38347232E+00   1.07430428E-01   1.07813634E-01   1.67668629E+00   2.30000000E+06   1.87574520E+01   1.67618501E+00   2.30000000E+06   1.91694031E+01 
0 610 3.97833411E-09   3.00660545E-08   6.68085898E-09   3.02862935E-09   2.47460297E-09   7.63823282E-10   4.46680239E-08   1.91377773E+01   1.36416376E+00   1.38973445E-01   1.10837892E-01   1.96415005E+01   1.38337696E+00   1.07862167E-01   1.07808396E-01   1.67668676E+00   2.30000000E+06   1.87582092E+01   1.67618084E+00   2.30000000E+06   1.91707191E+01 
0 620 3.82613186E-09   2.85629493E-08   6.47810827E-09   2.90747226E-09   2.39594522E-09   7.46691875E-10   4.39825705E-08   1.91380253E+01   1.36432290E+00   1.39086068E-01   1.10842012E-01   1.96425247E+01   1.38323617E+00   1.08131431E-01   1.07802942E-01   1.67668724E+00   2.30000000E+06   1.87588768E+01   1.67617643E+00   2.30000000E+06   1.91720943E+01 
0 630 3.65344976E-09   2.71513425E-08   6.28867403E-09   2.87677349E-09   2.28948682E-09   7.30233707E-10   4.32429985E-08   1.91382141E+01   1.36445999E+00   1.39232069E-01   1.10846326E-01   1.96435146E+01   1.38306749E+00   1.08260632E-01   1.07797593E-01   1.67668772E+00   2.30000000E+06   1.87594700E+01   1.67617202E+00   2.30000000E+06   1.91734638E+01 
0 640 3.48387075E-09   2.58369486E-08   6.10851014E-09   2.88634916E-09   2.18635732E-09   7.14421078E-10   4.24445084E-08   1.91383858E+01   1.36458755E+00   1.39423579E-01   1.10850610E-01   1.96444111E+01   1.38288653E+00   1.08284913E-01   1.07792631E-01   1.67668808E+00   2.30000000E+06   1.87600365E+01   1.67616785E+00   2.30000000E+06   1.91747704E+01 
0 650 3.33655170E-09   2.46312499E-08   5.92950711E-09   2.87818014E-09   2.12042006E-09   6.99259428E-10   4.16180193E-08   1.91385975E+01   1.36471784E+00   1.39654502E-01   1.10854581E-01   1.96451836E+01   1.38270640E+00   1.08241037E-01   1.07788227E-01   1.67668855E+00   2.30000000E+06   1.87606335E+01   1.67616403E+00   2.30000000E+06   1.91759720E+01 
0 660 3.22414717E-09   2.35463453E-08   5.74669023E-09   2.81499135E-09   2.09606443E-09   6.84757806E-10   4.08037053E-08   1.91389084E+01   1.36485994E+00   1.39912948E-01   1.10857964E-01   1.96458244E+01   1.38253784E+00   1.08161353E-01   1.07784435E-01   1.67668903E+00   2.30000000E+06   1.87613220E+01   1.67616045E+00   2.30000000E+06   1.91770592E+01 
