RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   probe3@MHH@63.3_V_x   probe3@MHH@63.3_V_y   probe3@MHH@63.3_V_z   probe3@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T003_omega   T003_power   T003_uref   T002_omega   T002_power   T002_uref 
0 300 1.03429860E-08   4.21913569E-07   2.04556557E-07   1.82330979E-07   3.05092982E-08   8.13773104E-10   2.02154439E-07   9.71575546E+00   -6.52589276E-02   1.18674301E-01   1.09537162E-01   9.72938442E+00   -2.78971475E-02   1.07586071E-01   1.09425873E-01   9.60279560E+00   6.91920966E-02   7.52938737E-04   1.10836782E-01   1.68106341E+00   1.65010375E+06   7.45753479E+00   1.68169677E+00   1.63243775E+06   7.41894245E+00   1.68098092E+00   1.65222262E+06   7.46216345E+00 
0 310 9.45990575E-09   4.00047099E-07   1.85375484E-07   1.65072265E-07   2.79552061E-08   8.11153311E-10   1.93962833E-07   9.70193863E+00   -6.52588010E-02   1.22325510E-01   1.09692253E-01   9.72006893E+00   -2.90098526E-02   1.09599769E-01   1.09534018E-01   9.59046841E+00   8.23157430E-02   3.89273535E-03   1.10984728E-01   1.68126190E+00   1.64484838E+06   7.44605398E+00   1.68186820E+00   1.62712400E+06   7.40733433E+00   1.68111587E+00   1.64873625E+06   7.45454693E+00 
0 320 8.49363246E-09   3.78924085E-07   1.68817621E-07   1.50205011E-07   2.49414942E-08   8.08863643E-10   1.86473073E-07   9.68926525E+00   -6.52787238E-02   1.23882741E-01   1.09833315E-01   9.71249962E+00   -2.94147674E-02   1.07662231E-01   1.09621324E-01   9.58300686E+00   9.05817226E-02   3.43303359E-03   1.11075200E-01   1.68143988E+00   1.63993288E+06   7.43531609E+00   1.68197381E+00   1.62371025E+06   7.39987707E+00   1.68122733E+00   1.64577988E+06   7.44808912E+00 
0 330 7.86813192E-09   3.58878907E-07   1.55386118E-07   1.36734059E-07   2.34032491E-08   8.06415601E-10   1.79993279E-07   9.67911625E+00   -6.48845583E-02   1.23128735E-01   1.09945491E-01   9.70704365E+00   -2.92712357E-02   1.04237810E-01   1.09683342E-01   9.57872009E+00   9.54745635E-02   1.28411083E-03   1.11126833E-01   1.68158209E+00   1.63584575E+06   7.42638731E+00   1.68204045E+00   1.62149000E+06   7.39502668E+00   1.68131411E+00   1.64342912E+06   7.44295359E+00 
0 340 7.52202389E-09   3.40405251E-07   1.45322744E-07   1.24141053E-07   2.29798562E-08   8.03151767E-10   1.74286143E-07   9.67124748E+00   -6.39373958E-02   1.21609189E-01   1.10032059E-01   9.70273304E+00   -2.89886240E-02   1.02440350E-01   1.09731071E-01   9.57473850E+00   9.99445543E-02   1.89649887E-04   1.11173034E-01   1.68169272E+00   1.63255888E+06   7.41920710E+00   1.68210173E+00   1.61940350E+06   7.39046860E+00   1.68138635E+00   1.64143225E+06   7.43859148E+00 
0 350 6.89735646E-09   3.24230143E-07   1.38160601E-07   1.12972302E-07   2.11715196E-08   7.98628386E-10   1.69007649E-07   9.66448402E+00   -6.26481101E-02   1.21379539E-01   1.10106803E-01   9.69828415E+00   -2.89958958E-02   1.03873447E-01   1.09779581E-01   9.56890202E+00   1.06227040E-01   1.84641557E-03   1.11239754E-01   1.68178511E+00   1.62973200E+06   7.41303158E+00   1.68217826E+00   1.61673362E+06   7.38463640E+00   1.68145609E+00   1.63947450E+06   7.43431473E+00 
0 360 6.03979045E-09   3.10316523E-07   1.31421430E-07   1.03268292E-07   1.80257498E-08   7.92830912E-10   1.63805097E-07   9.65776825E+00   -6.14186861E-02   1.23496465E-01   1.10182174E-01   9.69309616E+00   -2.95263156E-02   1.07755423E-01   1.09836645E-01   9.56104946E+00   1.14541098E-01   5.88317309E-03   1.11329876E-01   1.68187082E+00   1.62704225E+06   7.40715599E+00   1.68226850E+00   1.61347650E+06   7.37752104E+00   1.68152773E+00   1.63742575E+06   7.42983913E+00 
0 370 5.67319169E-09   2.97750120E-07   1.22531901E-07   9.39580289E-08   1.65567897E-08   7.86122001E-10   1.58438411E-07   9.65078926E+00   -6.05719760E-02   1.27315626E-01   1.10262081E-01   9.68759251E+00   -3.05115245E-02   1.11774266E-01   1.09898470E-01   9.55282497E+00   1.23286992E-01   1.03970822E-02   1.11424975E-01   1.68195283E+00   1.62439550E+06   7.40137386E+00   1.68235588E+00   1.61020412E+06   7.37037230E+00   1.68159711E+00   1.63540600E+06   7.42542648E+00 
0 380 5.89345195E-09   2.85683996E-07   1.11546733E-07   8.46663113E-08   1.74758199E-08   7.79042830E-10   1.52800936E-07   9.64398479E+00   -6.01521656E-02   1.31008625E-01   1.10341653E-01   9.68279457E+00   -3.15731764E-02   1.13832213E-01   1.09954126E-01   9.54636955E+00   1.30372047E-01   1.34602850E-02   1.11500345E-01   1.68202758E+00   1.62192212E+06   7.39597082E+00   1.68242276E+00   1.60760638E+06   7.36469746E+00   1.68165576E+00   1.63366938E+06   7.42163324E+00 
0 390 5.97519900E-09   2.74073017E-07   1.00696148E-07   7.61526309E-08   1.79176300E-08   7.72088227E-10   1.47209263E-07   9.63805580E+00   -5.99667728E-02   1.32828072E-01   1.10412627E-01   9.67955112E+00   -3.22655700E-02   1.13371335E-01   1.09993897E-01   9.54292870E+00   1.34488553E-01   1.43960668E-02   1.11541308E-01   1.68208981E+00   1.61981250E+06   7.39136219E+00   1.68246174E+00   1.60605862E+06   7.36131620E+00   1.68169737E+00   1.63241650E+06   7.41889620E+00 
0 400 5.58294877E-09   2.63002136E-07   9.19850294E-08   6.88700013E-08   1.65597775E-08   7.65466468E-10   1.41885891E-07   9.63338089E+00   -5.97465374E-02   1.32190838E-01   1.10470019E-01   9.67794704E+00   -3.23656276E-02   1.11430027E-01   1.10015996E-01   9.54227734E+00   1.35662600E-01   1.40318926E-02   1.11550182E-01   1.68213820E+00   1.61814038E+06   7.38770914E+00   1.68247640E+00   1.60546688E+06   7.36002350E+00   1.68172228E+00   1.63166238E+06   7.41724873E+00 
0 410 4.95523622E-09   2.52281154E-07   8.56838014E-08   6.26756034E-08   1.43426631E-08   7.59128149E-10   1.37006893E-07   9.62973499E+00   -5.93209676E-02   1.29916966E-01   1.10515401E-01   9.67731571E+00   -3.20433490E-02   1.09638341E-01   1.10026874E-01   9.54311275E+00   1.34882420E-01   1.39279477E-02   1.11541852E-01   1.68217647E+00   1.61679488E+06   7.38476992E+00   1.68247795E+00   1.60540475E+06   7.35988760E+00   1.68173635E+00   1.63123188E+06   7.41630840E+00 
0 420 4.45381820E-09   2.41632819E-07   8.08732992E-08   5.75718353E-08   1.27097382E-08   7.52969187E-10   1.32755474E-07   9.62644196E+00   -5.87170944E-02   1.27569988E-01   1.10555619E-01   9.67671585E+00   -3.17123681E-02   1.09037548E-01   1.10036343E-01   9.54396152E+00   1.33329213E-01   1.52245145E-02   1.11533314E-01   1.68221164E+00   1.61554162E+06   7.38203239E+00   1.68247807E+00   1.60539788E+06   7.35987282E+00   1.68174863E+00   1.63085638E+06   7.41548824E+00 
0 430 4.21762936E-09   2.31162318E-07   7.65642412E-08   5.34397238E-08   1.21754518E-08   7.46856854E-10   1.29003467E-07   9.62280273E+00   -5.80839254E-02   1.26447290E-01   1.10598221E-01   9.67544556E+00   -3.17296013E-02   1.09577201E-01   1.10052072E-01   9.54397011E+00   1.31786063E-01   1.79096293E-02   1.11534618E-01   1.68225002E+00   1.61415262E+06   7.37899780E+00   1.68248379E+00   1.60516538E+06   7.35936499E+00   1.68176675E+00   1.63030225E+06   7.41427708E+00 
0 440 4.12910994E-09   2.21246879E-07   7.22164089E-08   4.97439743E-08   1.21575727E-08   7.40754735E-10   1.25417372E-07   9.61848545E+00   -5.75739853E-02   1.26911923E-01   1.10647179E-01   9.67332840E+00   -3.21696326E-02   1.10467419E-01   1.10076360E-01   9.54316425E+00   1.30412370E-01   2.09725741E-02   1.11545667E-01   1.68229437E+00   1.61251725E+06   7.37542534E+00   1.68249512E+00   1.60470438E+06   7.35835791E+00   1.68179381E+00   1.62946162E+06   7.41244125E+00 
0 450 3.99211419E-09   2.12164394E-07   6.78074770E-08   4.62354954E-08   1.18300907E-08   7.34739158E-10   1.21880689E-07   9.61365318E+00   -5.72666638E-02   1.28407583E-01   1.10701308E-01   9.67066574E+00   -3.28442380E-02   1.10941499E-01   1.10106394E-01   9.54220390E+00   1.28886864E-01   2.32079048E-02   1.11558966E-01   1.68234336E+00   1.61068088E+06   7.37141371E+00   1.68250716E+00   1.60421338E+06   7.35728550E+00   1.68182850E+00   1.62838125E+06   7.41008091E+00 
0 460 3.70542819E-09   2.03872005E-07   6.36486277E-08   4.31520029E-08   1.08115419E-08   7.28915983E-10   1.18257802E-07   9.60882473E+00   -5.71367405E-02   1.30016416E-01   1.10755526E-01   9.66800308E+00   -3.34756412E-02   1.10813968E-01   1.10136554E-01   9.54183960E+00   1.26769200E-01   2.40354240E-02   1.11565731E-01   1.68239212E+00   1.60880688E+06   7.36732006E+00   1.68251407E+00   1.60392875E+06   7.35666323E+00   1.68186510E+00   1.62722388E+06   7.40755272E+00 
0 470 3.35542349E-09   1.96102846E-07   5.99974896E-08   4.05228704E-08   9.45697387E-09   7.23379967E-10   1.14572444E-07   9.60458088E+00   -5.70849888E-02   1.31098583E-01   1.10803843E-01   9.66583538E+00   -3.38666253E-02   1.10484086E-01   1.10161498E-01   9.54243183E+00   1.23831652E-01   2.37948149E-02   1.11561507E-01   1.68243575E+00   1.60709338E+06   7.36357689E+00   1.68251300E+00   1.60397200E+06   7.35675764E+00   1.68189764E+00   1.62618612E+06   7.40528536E+00 
