RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 350 1.53646640E-09   8.46770192E-08   3.37572708E-08   1.13739054E-08   3.16656990E-09   3.96964295E-10   8.22149246E-08   1.04185390E+01   -4.05698061E+00   -2.95952469E-01   1.14791587E-01   1.04304991E+01   -4.05178499E+00   -3.30877304E-01   1.14802659E-01   1.68333626E+00   2.18998825E+06   1.00768528E+01   1.68157542E+00   2.20041250E+06   1.01815062E+01 
0 360 1.59319014E-09   8.07068261E-08   3.21222586E-08   1.08804716E-08   3.32304539E-09   3.90887656E-10   7.64686945E-08   1.04144058E+01   -4.05983353E+00   -2.91658163E-01   1.14826046E-01   1.04279728E+01   -4.05143261E+00   -3.30564409E-01   1.14834495E-01   1.68335211E+00   2.18988250E+06   1.00757933E+01   1.68163586E+00   2.20009025E+06   1.01782703E+01 
0 370 1.62312663E-09   7.69538460E-08   3.06506109E-08   1.04203206E-08   3.37444583E-09   3.85082521E-10   7.12077011E-08   1.04097071E+01   -4.06199455E+00   -2.87755787E-01   1.14868619E-01   1.04257002E+01   -4.05110025E+00   -3.30306709E-01   1.14863932E-01   1.68337989E+00   2.18969650E+06   1.00739250E+01   1.68169081E+00   2.19979500E+06   1.01753063E+01 
0 380 1.60052105E-09   7.34975174E-08   2.93264115E-08   9.95001415E-09   3.19270255E-09   3.79539067E-10   6.63904700E-08   1.04045773E+01   -4.06322575E+00   -2.84559518E-01   1.14918984E-01   1.04237080E+01   -4.05078793E+00   -3.30253839E-01   1.14890590E-01   1.68342054E+00   2.18942275E+06   1.00711765E+01   1.68173945E+00   2.19953250E+06   1.01726694E+01 
0 390 1.54101554E-09   7.03650116E-08   2.81071397E-08   9.43698986E-09   2.88857582E-09   3.74223402E-10   6.19438723E-08   1.03992434E+01   -4.06349659E+00   -2.82288313E-01   1.14975125E-01   1.04219255E+01   -4.05050373E+00   -3.30444664E-01   1.14914924E-01   1.68347204E+00   2.18907250E+06   1.00676613E+01   1.68178248E+00   2.19929850E+06   1.01703224E+01 
0 400 1.47691515E-09   6.75139731E-08   2.69486353E-08   8.87629881E-09   2.67770472E-09   3.69085568E-10   5.77610884E-08   1.03940039E+01   -4.06295109E+00   -2.80970573E-01   1.15033619E-01   1.04202290E+01   -4.05024862E+00   -3.30774426E-01   1.14937976E-01   1.68353009E+00   2.18867500E+06   1.00636692E+01   1.68182230E+00   2.19908175E+06   1.01681471E+01 
0 410 1.41676604E-09   6.48881695E-08   2.58313850E-08   8.31274605E-09   2.59969934E-09   3.64094144E-10   5.37953717E-08   1.03891602E+01   -4.06184626E+00   -2.80444056E-01   1.15090586E-01   1.04185123E+01   -4.05002022E+00   -3.31047356E-01   1.14960767E-01   1.68358886E+00   2.18826775E+06   1.00595808E+01   1.68186116E+00   2.19886925E+06   1.01660118E+01 
0 420 1.34796163E-09   6.24380263E-08   2.47625334E-08   7.82708653E-09   2.50146792E-09   3.59249575E-10   5.00167872E-08   1.03849363E+01   -4.06047010E+00   -2.80466139E-01   1.15142792E-01   1.04167271E+01   -4.04982042E+00   -3.31097096E-01   1.14983879E-01   1.68364346E+00   2.18788575E+06   1.00557470E+01   1.68190062E+00   2.19865200E+06   1.01638327E+01 
0 430 1.27437449E-09   6.01060250E-08   2.37530671E-08   7.44477324E-09   2.32911312E-09   3.54522661E-10   4.64253596E-08   1.03814297E+01   -4.05904913E+00   -2.80829012E-01   1.15188435E-01   1.04148970E+01   -4.04966116E+00   -3.30880046E-01   1.15007229E-01   1.68369067E+00   2.18755275E+06   1.00524035E+01   1.68194079E+00   2.19843025E+06   1.01616058E+01 
0 440 1.22733634E-09   5.78304231E-08   2.27975629E-08   7.09788139E-09   2.23231256E-09   3.49906437E-10   4.29877787E-08   1.03786068E+01   -4.05771112E+00   -2.81424612E-01   1.15227319E-01   1.04131050E+01   -4.04956865E+00   -3.30483526E-01   1.15030080E-01   1.68372953E+00   2.18727650E+06   1.00496292E+01   1.68198013E+00   2.19821225E+06   1.01594162E+01 
